registrable,url,doc_has_verdict,doc_verdict,doc_risk_score,doc_form_count,doc_submit_buttons,doc_has_login_keywords,doc_has_verify_keywords,doc_has_password_keywords,doc_has_credential_keywords,doc_length
kotakbank.com,https://kotakbank.com/,1,benign,0,1,Search,0,0,0,0,595
bharatpetroleum.in,https://bharatpetroleum.in/,1,benign,0,0,,0,0,0,0,386
yonosbi.sbi,,0,,0,0,,0,0,0,0,93
iciciforexservices.com,,0,,0,0,,0,0,0,0,115
onlinesbi.com,,0,,0,0,,0,0,0,0,102
yesbank.co.in,,0,,0,0,,0,0,0,0,108
viijayabank.com,,0,,0,0,,0,0,0,0,101
sbilife.co.in,,1,benign,0,0,,0,0,0,0,608
corpbank.com,,0,,0,0,,0,0,0,0,95
syndicatebank.in,,0,,0,0,,0,0,0,0,103
.nic.in,,0,,0,0,,0,0,0,0,84
pmo.gov.in,,1,benign,0,0,,0,0,0,0,466
incometax.gov.in,,0,,0,0,,0,0,0,0,103
vi.in,,0,,0,0,,0,0,0,0,81
passportindia.gov.in,,0,,0,0,,0,0,0,0,111
nseindia.com,,1,benign,0,0,,0,0,0,0,580
coalindia.in,,0,,0,0,,0,0,0,0,95
isro.gov.in,,0,,0,0,,0,0,0,0,93
rbi.org.in,https://rbi.org.in/,1,benign,0,1,,0,0,0,0,701
upi.org.in,,1,benign,0,0,,0,0,0,0,334
npci.org.in,,0,,0,0,,0,0,0,0,98
paytmbank.com,,0,,0,0,,0,0,0,0,97
bbps.org.in,,0,,0,0,,0,0,0,0,93
india.gov.in,,0,,0,0,,0,0,0,0,95
redbus.in,,0,,0,0,,0,0,0,0,89
zomato.com,,0,,0,0,,0,0,0,0,91
airindia.co.in,,0,,0,0,,0,0,0,0,99
makemytrip.com,,0,,0,0,,0,0,0,0,99
goibibo.com,,0,,0,0,,0,0,0,0,93
goindigo.in,,0,,0,0,,0,0,0,0,93
yatra.com,,0,,0,0,,0,0,0,0,89
airvistara.com,,0,,0,0,,0,0,0,0,99
denabank.com,,0,,0,0,,0,0,0,0,95
starhealth.in,,0,,0,0,,0,0,0,0,97
drdo.gov.in,,0,,0,0,,0,0,0,0,93
iitm.ac.in,,0,,0,0,,0,0,0,0,91
bihar.gov.in,,1,benign,0,0,,0,0,0,0,460
email.gov.in,,0,,0,0,,0,0,0,0,400
manipalhospitals.com,,0,,0,0,,0,0,0,0,111
fortishealthcare.com,,0,,0,0,,0,0,0,0,111
cg.gov.in,,1,benign,0,0,,0,0,0,0,514
hp.gov.in,,0,,0,0,,0,0,0,0,89
andaman.gov.in,,1,benign,0,0,,0,0,0,0,340
ongcindia.com,https://ongcindia.com/,1,benign,0,0,,0,0,0,0,371
nhai.gov.in,https://nhai.gov.in/#/,1,benign,0,0,,0,0,0,0,440
gailonline.com,https://gailonline.com/,1,benign,0,2,,0,0,0,0,580
wipro.com,https://www.wipro.com/,1,benign,0,2,Submit,0,0,0,0,633
aiims.edu,,0,,0,0,,0,0,0,0,489
arunachalpradesh.gov.in,https://arunachalpradesh.gov.in/,0,,0,0,,0,0,0,0,431
accounts.mgovcloud.in,,1,benign,0,0,,0,0,0,0,460
chandigarh.gov.in,https://chandigarh.gov.in/,0,,0,0,,0,0,0,0,419
ap.gov.in,,0,,0,0,,0,0,0,0,462
aicte-india.org,,0,,0,0,,0,0,0,0,540
cbse.gov.in,,0,,0,0,,0,0,0,0,474
dnh.gov.in,https://dnh.gov.in/,1,benign,0,1,Search,0,0,0,0,587
delhi.gov.in,https://delhi.gov.in/,1,benign,0,2,,1,0,0,0,604
bhimupi.org.in,,0,,0,0,,0,0,0,0,546
assam.gov.in,https://assam.gov.in/,1,benign,0,0,,0,0,0,0,440
csir.res.in,,0,,0,0,,0,0,0,0,93
cris.org.in,https://cris.org.in/,1,benign,0,0,,0,1,0,0,537
gov.in,,0,,0,0,,0,0,0,0,415
epfindia.gov.in,,0,,0,0,,0,0,0,0,480
bsnl.co.in,https://bsnl.co.in/,1,benign,0,0,,0,0,0,0,476
bseindia.com,,0,,0,0,,0,0,0,0,591
finmin.nic.in,,0,,0,0,,0,0,0,0,97
aai.aero,,0,,0,0,,0,0,0,0,505
fssai.gov.in,https://fssai.gov.in/,1,benign,0,1,,0,1,0,0,598
goa.gov.in,,0,,0,0,,0,0,0,0,470
dgft.gov.in,,0,,0,0,,0,0,0,0,417
haryana.gov.in,https://haryana.gov.in/,1,benign,0,0,,0,0,0,0,374
bhel.com,,0,,0,0,,0,0,0,0,420
esic.nic.in,,0,,0,0,,0,0,0,0,403
gujarat.gov.in,https://gujarat.gov.in/,1,benign,0,0,,0,0,0,0,374
icmr.gov.in,,0,,0,0,,0,0,0,0,521
dc.crsorgi.gov.in,,0,,0,0,,0,0,0,0,352
iitd.ac.in,,0,,0,0,,0,0,0,0,490
idbi.com,,0,,0,0,,0,0,0,0,573
imps.npci.org.in,,0,,0,0,,0,0,0,0,262
digilocker.gov.in,,0,,0,0,,0,0,0,0,453
indianrailways.gov.in,,0,,0,0,,0,0,0,0,490
iitb.ac.in,,0,,0,0,,0,0,0,0,486
cert-in.org.in,https://cert-in.org.in/,1,benign,0,0,,0,0,0,0,374
gst.gov.in,,0,,0,0,,0,0,0,0,415
meity.gov.in,,0,,0,0,,0,0,0,0,522
hal-india.co.in,,0,,0,0,,0,0,0,0,679
irdai.gov.in,https://irdai.gov.in/,1,benign,0,2,,1,0,0,0,641
ircon.org,,0,,0,0,,0,0,0,0,525
ladakh.nic.in,,0,,0,0,,0,0,0,0,97
kavach.mail.gov.in,,0,,0,0,,0,0,0,0,359
karnataka.gov.in,,1,benign,0,0,,0,0,0,0,551
kerala.gov.in,,1,benign,0,0,,0,0,0,0,512
manipur.gov.in,https://manipur.gov.in/,1,benign,0,1,,0,0,0,0,570
jk.gov.in,,0,,0,0,,0,0,0,0,427
irctc.co.in,,1,benign,0,0,,0,0,0,0,588
education.gov.in,,0,,0,0,,0,0,0,0,417
indianbank.in,,0,,0,0,,0,0,0,0,393
meghalaya.gov.in,https://meghalaya.gov.in/,1,benign,0,1,,0,0,0,0,576
maharashtra.gov.in,https://maharashtra.gov.in/,1,benign,0,1,,0,0,0,0,591
mtnl.net.in,https://mtnl.net.in/,1,benign,0,1,,0,0,0,0,529
mha.gov.in,,0,,0,0,,0,0,0,0,470
centralbankofindia.co.in,https://centralbankofindia.co.in/,1,benign,10,0,,0,0,0,0,582
licindia.in,,0,,0,0,,0,0,0,0,387
nabard.org,,1,benign,0,0,,0,0,0,0,520
newindia.co.in,https://newindia.co.in/,1,benign,0,0,,1,0,0,0,497
nic.co.in,https://nationalinsurance.nic.co.in/,1,benign,0,1,,0,0,0,0,592
nhai.gov.in,,0,,0,0,,0,0,0,0,435
nic.in,,0,,0,0,,0,0,0,0,385
mizoram.gov.in,https://mizoram.gov.in/,1,benign,0,0,,1,0,0,0,486
neft.rbi.org.in,,0,,0,0,,0,0,0,0,269
nciipc.gov.in,,0,,0,0,,0,0,0,0,445
nalcoindia.com,https://nalcoindia.com/,1,benign,0,2,,1,0,0,0,620
nitc.ac.in,https://nitc.ac.in/,1,benign,0,4,,1,0,0,0,573
nsdl.co.in,,0,,0,0,,0,0,0,0,563
ntpc.co.in,,0,,0,0,,0,0,0,0,513
nta.ac.in,https://nta.ac.in/,1,benign,0,1,,1,0,0,0,579
orientalinsurance.org.in,https://orientalinsurance.org.in/,1,benign,0,0,,0,0,0,0,496
aiims.edu,https://aiims.edu/index.php/en,0,,0,1,,0,0,0,0,504
nlcindia.com,,1,benign,0,0,,0,0,0,0,526
pfrda.gov.in,,0,,0,0,,0,0,0,0,95
nic.gov.in,,0,,0,0,,0,0,0,0,477
.gov.in,,0,,0,0,,0,0,0,0,84
cbse.gov.in,https://www.cbse.gov.in/,1,benign,0,0,,0,0,0,0,373
zoo.gov.in,,1,benign,0,0,,0,0,0,0,239
urban.gov.in,,1,benign,0,0,,0,0,0,0,243
water.gov.in,,1,benign,0,0,,0,0,0,0,243
punjab.gov.in,https://punjab.gov.in/,1,benign,0,5,,0,0,0,0,595
recindia.nic.in,https://recindia.nic.in/,1,benign,0,2,,0,0,0,0,540
sail.co.in,https://sail.co.in/,0,,0,1,खोज,0,0,0,0,577
powergrid.in,,1,benign,0,0,,0,0,0,0,522
rajasthan.gov.in,https://rajasthan.gov.in/,1,benign,0,1,,0,0,0,0,544
tn.gov.in,,1,benign,0,0,,0,0,0,0,502
railtelindia.com,,1,benign,0,0,,0,0,0,0,498
sebi.gov.in,,1,benign,0,0,,0,0,0,0,614
jharkhand.gov.in,https://jharkhand.gov.in/,1,benign,0,3,,1,0,0,0,658
mp.gov.in,https://mp.gov.in/,1,benign,0,1,,0,0,0,0,522
odisha.gov.in,,1,benign,0,0,,0,0,0,0,565
nagaland.gov.in,https://nagaland.gov.in/,1,benign,0,0,,0,0,0,0,450
sikkim.gov.in,,1,benign,0,0,,0,0,0,0,516
py.gov.in,https://py.gov.in/,1,benign,0,1,,0,0,0,0,661
telangana.gov.in,,1,benign,0,0,,0,0,0,0,543
