registrable,screenshot_phash
aicte-india.org,eac1159760be1d8d
aiims.edu,86c140a7c1fabb73
airtel.com,8018fee31ffc07e0
airtel.in,c567ef4545cec610
arunachalpradesh.gov.in,dcd41dda45aa43a3
assam.gov.in,c57f3a20813f6a71
bankofbaroda.in,f62c6c22c99bc393
bharatpetroleum.in,8f0f0f0303e3e3e3
bhimupi.org.in,8e4d42c744b6b6b6
bobibanking.com,fa31514343653d6b
bseindia.com,92c7479a41ce1cf9
bsnl.co.in,afc4e0c06eb53ec2
cbse.gov.in,8f0f070703e3e3e3
centralbankofindia.co.in,b896c7493836c799
cert-in.org.in,af6a6a6a62c78594
chandigarh.gov.in,e6459115155fccce
cris.org.in,d195551555535557
crsorgi.gov.in,99bc44bfbb404783
delhi.gov.in,cd8100bfa99d7f42
dgft.gov.in,99993f374dc442c6
digilocker.gov.in,807f03bf8097836f
dnh.gov.in,c9b5155c64c28fa7
education.gov.in,8f0f0f0303e3e3e3
epfindia.gov.in,ee3f30c0c194353f
esic.nic.in,b6db258d38f0c227
fssai.gov.in,8b80707a97157b6b
gailonline.com,bf9f14ca40cac98b
goa.gov.in,b4ab3d9450fcca16
gst.gov.in,b5a524bb2b0bc347
gujarat.gov.in,8707070703f1f1fb
hal-india.co.in,e4601091afee1ddb
haryana.gov.in,b333233333333333
hdfcbank.com,b6bd2636b4e642c2
hdfcergo.com,aec713f0118d26f6
hdfclife.com,aa6e45175d1178ea
icicibank.com,f0707072525b1f8f
icicidirect.com,beaaf8381caee860
idbi.com,ceda132764ad12f8
iitb.ac.in,be3e144c48d03f3e
iitd.ac.in,eb95545a126e39e2
indianbank.in,9fc9401e62e1b727
iocl.com,a2931a4763b16ccf
irctc.com,a787c039e9d146a7
irdai.gov.in,f2857d7385798710
jharkhand.gov.in,9ce31ef00ce30ee3
maharashtra.gov.in,d08caf3d60d62d6a
mail.gov.in,b3335c4c4e667919
manipur.gov.in,8341608f8df8bd1f
meghalaya.gov.in,b68a49d0b436cbcb
meity.gov.in,8f0f070703e3e3e3
mgovcloud.in,da56706428e58bbe
mizoram.gov.in,b6beb6044cc349e3
mp.gov.in,afc0407af093aeae
mtnl.net.in,cabbbb6c30a199e0
nagaland.gov.in,ccba324c4cb333cd
nalcoindia.com,e666e666607053f1
netpnb.com,ec6c4c4c4e466c7d
newindia.co.in,bfc9c8f8c2b240ad
nhai.gov.in,844c6ada1c35e3eb
nic.co.in,ffff00f0fef80000
nic.gov.in,8f0f070703e3e3e3
nitc.ac.in,8e8f70109f9fe0f0
nta.ac.in,aa902ad4b5e7f522
ntpc.co.in,a73d38f0e0c2cacb
ongcindia.com,9e0e6070797f7701
orientalinsurance.org.in,c9496b2f3c362e32
pnbindia.in,bf1b58104345e3be
powergrid.in,b636362666666666
punjab.gov.in,80fb2bb740167e66
py.gov.in,ebe310b61cc9c959
railtelindia.com,bd5054ee7c10393d
rajasthan.gov.in,f2541272087753df
rbi.org.in,fa6a62b5859dc8c8
recindia.nic.in,ce1317cec99dcc48
sail.co.in,9e194e469b8f4e19
sbi.co.in,be81c166c43b3b99
sbicard.com,877c077c076f2703
sbiepay.sbi,bb48481b49493fcf
sebi.gov.in,c34313b1b93d6969
sikkim.gov.in,eaca58c96b859535
tn.gov.in,9a9224e563e3bd38
tripura.gov.in,aef041a7c08f1fc9
uidai.gov.in,b1b3933b9991a9a2
wipro.com,aa19d0cceae887c7
yonobusiness.sbi,b39370ca4accceca
